# namespace	pvc	expected_storage_class	expected_replicas	expected_backups
# Private-repo PVCs should be added in ~/.config/home-infra/storage-policy-private.tsv
bookstack	bookstack-app-data-pvc	longhorn	3	daily,weekly
bookstack	bookstack-db-data-pvc	longhorn-steady	2	daily,weekly
changedetection	changedetection-data-pvc	longhorn	3	daily,weekly
factorio	factorio-data	longhorn	3	hourly,daily,weekly
firefox	firefox-config-pvc	longhorn	3	daily,weekly
firefox	firefox-gluetun-config-pvc	longhorn	3	daily,weekly
gatus	gatus	longhorn	3	daily,weekly
hoarder	hoarder-data-pvc	longhorn	3	daily,weekly
hoarder	hoarder-meilisearch-pvc	longhorn	3	daily,weekly
hoarder	hoarder-redis-pvc	longhorn	3	daily,weekly
immich	immich-db-pvc	longhorn-steady	2	hourly,daily,weekly
immich	immich-model-cache-pvc	longhorn	3	daily,weekly
immich	immich-power-tools-data-pvc	longhorn	3	hourly,daily,weekly
jellyfin	jellyfin-config-pvc-rdn	longhorn-singleton	3	daily,weekly
jellyfin	tracearr-data-pvc	longhorn	3	daily,weekly
kioto	kioto-app-data-pvc	longhorn	3	daily,weekly
kioto	kioto-postgres-data-pvc	longhorn-steady	2	daily,weekly
librechat	librechat-librechat-images	longhorn	3	daily,weekly
librechat	librechat-meilisearch	longhorn	3	daily,weekly
librechat	librechat-mongodb	longhorn-steady	2	daily,weekly
linkding	linkding-data-pvc	longhorn	3	daily,weekly
memos	memos-data-v3-pvc	longhorn-fast	2	none
microbin	microbin-data-pvc	longhorn	3	daily,weekly
monitoring	alertmanager-prometheus-alertmanager-db-alertmanager-prometheus-alertmanager-0	longhorn	3	daily,weekly
monitoring	kube-prometheus-stack-grafana-rdn	longhorn-singleton	3	daily,weekly
monitoring	prometheus-prometheus-prometheus-db-prometheus-prometheus-prometheus-0	longhorn-steady	2	hourly,daily,weekly
monitoring	storage-loki-0	longhorn-steady	2	none
netbootxyz	netbootxyz-data-pvc	longhorn	3	daily,weekly
notemark	notemark-data-pvc	longhorn	3	daily,weekly
ntfy	ntfy-data-pvc	longhorn	3	daily,weekly
paperless	paperless-data-pvc	longhorn	3	hourly,daily,weekly
paperless	paperless-db-pvc	longhorn-steady	2	hourly,daily,weekly
paperless	paperless-export-pvc	longhorn	3	hourly,daily,weekly
paperless	paperless-media-pvc	longhorn	3	hourly,daily,weekly
paperless	paperless-redis-pvc	longhorn	3	daily,weekly
plex	plex-config-pvc-rdn	longhorn-singleton	3	daily,weekly
pocketid	pocketid-data-pvc	longhorn-fast	2	daily,weekly
rustdesk	rustdesk-data	longhorn	3	daily,weekly
snippetbox	snippetbox-data-pvc	longhorn	3	hourly,daily,weekly
sparkyfitness	data-sparkyfitness-postgresql-0	longhorn-steady	2	daily,weekly
sparkyfitness	sparkyfitness-database-backup	longhorn-steady	2	daily,weekly
sparkyfitness	sparkyfitness-server-backup	longhorn-steady	2	daily,weekly
sparkyfitness	sparkyfitness-server-uploads	longhorn	3	daily,weekly
tasksmd	tasksmd-data-pvc	longhorn	3	daily,weekly
termix	termix-data-pvc	longhorn-singleton	3	daily,weekly
vault-raft	data-vault-raft-0	longhorn-vault-raft	1	hourly,daily,weekly
vault-raft	data-vault-raft-1	longhorn-vault-raft	1	hourly,daily,weekly
vault-raft	data-vault-raft-2	longhorn-vault-raft	1	hourly,daily,weekly
vaultwarden	vaultwarden-data-pvc	longhorn	3	hourly,daily,weekly
wallos	wallos-data-pvc	longhorn	3	daily,weekly
yams	bazarr-config-pvc	longhorn	3	daily,weekly
yams	jellyseerr-config-pvc	longhorn-fast	2	daily,weekly
yams	nzbget-config-pvc	longhorn	3	daily,weekly
yams	nzbget-gluetun-config-pvc	longhorn	3	daily,weekly
yams	prowlarr-config-pvc	longhorn	3	daily,weekly
yams	qbittorrent-config-pvc	longhorn	3	daily,weekly
yams	qbittorrent-gluetun-config-pvc	longhorn	3	daily,weekly
yams	radarr-config-pvc	longhorn	3	daily,weekly
yams	radarr4k-config-pvc	longhorn	3	daily,weekly
yams	seerr-config-pvc	longhorn-fast	2	daily,weekly
yams	sonarr-config-pvc	longhorn	3	daily,weekly
yams	tautulli-config-pvc	longhorn	3	daily,weekly
yams	wizarr-config-pvc	longhorn	3	daily,weekly
